Administrative District,Year,Total Enrollment,Grade PK (Half Day & Full Day),Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multiple Race Categories Not Represented,% Multiple Race Categories Not Represented,# White,% White,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index
18,2015-16,16991,1437,1112,1237,1170,1321,1281,1311,1036,1171,1332,1168,1301,1073,1041,8338,49.1,8653,50.9,213,1.3,14842,87.4,1225,7.2,295,1.7,416,2.4,3052,18,757,4.5,12803,75.4,60.4%
19,2015-16,24062,1976,1871,1878,1892,1948,1904,1879,1577,1666,1776,1740,1394,1053,1508,11479,47.7,12583,52.3,1715,7.1,11410,47.4,10178,42.3,392,1.6,367,1.5,4883,20.3,2748,11.4,19787,82.2,77.2%
20,2015-16,52932,3778,3984,4362,4164,4157,4173,3836,3898,3834,3745,3646,3941,2718,2696,25545,48.3,27387,51.7,22481,42.5,1652,3.1,13835,26.1,499,0.9,14465,27.3,7785,14.7,12203,23.1,38206,72.2,64.0%
21,2015-16,36565,2753,2199,2270,2233,2279,2086,2119,2901,2875,2854,3547,3425,2465,2559,17780,48.6,18785,51.4,8905,24.4,5643,15.4,9145,25,574,1.6,12298,33.6,6549,17.9,5560,15.2,24611,67.3,62.2%
22,2015-16,35775,2772,2745,2903,2856,2966,2839,2758,2063,2087,2129,2589,2581,2186,2301,17618,49.2,18157,50.8,6694,18.7,12065,33.7,5430,15.2,603,1.7,10983,30.7,5758,16.1,3450,9.6,23484,65.6,53.5%
23,2015-16,9952,827,727,811,781,761,749,685,938,856,975,397,468,433,544,4646,46.7,5306,53.3,100,1,7550,75.9,2072,20.8,131,1.3,99,1,2345,23.6,444,4.5,8655,87,81.2%
24,2015-16,60556,3688,5123,5209,5211,5128,4970,4748,4206,4228,4184,3897,3648,2974,3342,28554,47.2,32002,52.8,11971,19.8,1741,2.9,37704,62.3,589,1,8551,14.1,9619,15.9,12847,21.2,42768,70.6,58.8%
25,2015-16,38587,3033,2830,2990,2970,3075,2801,2706,2709,2572,2522,3151,2732,2331,2165,18952,49.1,19635,50.9,18548,48.1,3105,8,11068,28.7,540,1.4,5326,13.8,5443,14.1,6516,16.9,25841,67,46.5%
26,2015-16,32780,1661,1805,1857,1890,1965,1813,1779,2018,1904,1976,4138,3773,3212,2989,15976,48.7,16804,51.3,16957,51.7,3886,11.9,5557,17,631,1.9,5749,17.5,4475,13.7,2103,6.4,18468,56.3,31.7%
27,2015-16,46045,3248,3514,3631,3732,3766,3564,3531,3598,3657,3594,3096,2706,2253,2155,21966,47.7,24079,52.3,10560,22.9,11220,24.4,17449,37.9,2045,4.4,4771,10.4,7860,17.1,4337,9.4,34423,74.8,57.4%
