Borough,Geographical  District,Admin District,ATS Code,Location Name,Grade Level,Building Code,Building Name,Address,Building Ownership Description,Room No,Area,Function,Is school co-located?,Inside v outside,Is the space shared by any other schools?,Space used for any other purpose beside PE
K,22,22,22K312,P.S. 312 Bergen Beach,Elementary,K312,P.S. 312 - Brooklyn,7103 Avenue T,DOE Owned,345,676,Dance Room,false,Inside,false,false
Q,25,25,25Q120,P.S. 120 Queens,Elementary,Q120,P.S. 120 - Queens,58-01 136 Street,DOE Owned,GYM,3850,Gymnasium,false,Inside,false,false
M,1,1,01M063,The STAR Academy - P.S.63,Elementary,M063,P.S. 63 - Manhattan,121 East 3 Street,DOE Owned,417,1500,Gymnasium,true,Inside,true,false
M,1,1,01M015,P.S. 015 Roberto Clemente,Elementary,M015,P.S. 15 - Manhattan,333 East 4 Street,DOE Owned,GYM.,3243,Gymnasium,true,Inside,true,false
M,1,1,01M015,P.S. 015 Roberto Clemente,Elementary,M015,P.S. 15 - Manhattan,333 East 4 Street,DOE Owned,Outdoor Yard 1,14953,Outdoor Yard,true,Outdoor,true,false
M,1,1,01M019,P.S. 019 Asher Levy,Elementary,M019,P.S. 19 - Manhattan,185 1 Avenue,DOE Owned,GYM,3942,Gymnasium,true,Inside,true,false
M,1,1,01M019,P.S. 019 Asher Levy,Elementary,M019,P.S. 19 - Manhattan,185 1 Avenue,DOE Owned,Outdoor Yard 1,28121,Outdoor Yard,true,Outdoor,true,false
M,1,1,01M020,P.S. 020 Anna Silver,Elementary,M020,P.S. 20 - Manhattan,166 Essex Street,DOE Owned,GYM,4000,Gymnasium,false,Inside,false,false
M,1,1,01M020,P.S. 020 Anna Silver,Elementary,M020,P.S. 20 - Manhattan,166 Essex Street,DOE Owned,Outdoor Yard 1,3191,Outdoor Yard,false,Outdoor,false,false
M,1,1,01M034,P.S. 034 Franklin D. Roosevelt,K-8,M034,P.S. 34 - Manhattan,730 East 12 Street,DOE Owned,124,3450,Gymnasium,false,Inside,false,false
M,1,1,01M034,P.S. 034 Franklin D. Roosevelt,K-8,M034,P.S. 34 - Manhattan,730 East 12 Street,DOE Owned,Outdoor Yard 1,27457,Outdoor Yard,false,Outdoor,false,false
M,1,1,01M063,The STAR Academy - P.S.63,Elementary,M063,P.S. 63 - Manhattan,121 East 3 Street,DOE Owned,114,728,Dance Room,true,Inside,true,false
M,3,3,03M452,P.S. 452,Elementary,M044,I.S. 44 - Manhattan,100 West 77 Street,DOE Owned,237,960,Dance Room,true,Inside,true,false
M,2,75,75M094,P.S. M094,K-8,M276,P.S./I.S. 276 - Manhattan,55 Battery Place,Tax Levy Lease,108,5040,Gymnasium,true,Inside,true,false
K,19,19,19K174,P.S. 174 Dumont,K-8,K174,P.S. 174 - Brooklyn,574 Dumont Avenue,DOE Owned,BGYM,2891,Gymnasium,true,Inside,true,false
K,13,13,13K595,Bedford Academy High School,High school,,Bedford Ymca,1121 Bedford Ave,,,,Bedford YMCA,false,Offsite,false,false
M,1,1,01M063,The STAR Academy - P.S.63,Elementary,M063,P.S. 63 - Manhattan,121 East 3 Street,DOE Owned,GYMB,1740,Gymnasium,true,Inside,true,false
M,1,1,01M064,P.S. 064 Robert Simon,Elementary,M064,P.S. 64 (Old 71) - Manhattan,600 East 6 Street,DOE Owned,B43,1344,Dance Room,true,Inside,true,false
M,1,1,01M064,P.S. 064 Robert Simon,Elementary,M064,P.S. 64 (Old 71) - Manhattan,600 East 6 Street,DOE Owned,B53,6336,Gymnasium,true,Inside,true,false
M,1,1,01M064,P.S. 064 Robert Simon,Elementary,M064,P.S. 64 (Old 71) - Manhattan,600 East 6 Street,DOE Owned,Outdoor Yard 1,13310,Outdoor Yard,true,Outdoor,true,false
M,1,1,01M064,P.S. 064 Robert Simon,Elementary,M064,P.S. 64 (Old 71) - Manhattan,600 East 6 Street,DOE Owned,Outdoor Yard 2,14159,Outdoor Yard,true,Outdoor,true,false
M,1,1,01M110,P.S. 110 Florence Nightingale,Elementary,M110,P.S. 110 - Manhattan,285 Delancy Street,DOE Owned,GYM,3367,Gymnasium,false,Inside,false,false
M,1,1,01M110,P.S. 110 Florence Nightingale,Elementary,M110,P.S. 110 - Manhattan,285 Delancy Street,DOE Owned,Outdoor Yard 1,4089,Outdoor Yard,false,Outdoor,false,false
M,1,1,01M134,P.S. 134 Henrietta Szold,Elementary,M134,P.S. 134 - Manhattan,293 East Broadway,DOE Owned,140,920,Dance Room,true,Inside,true,false
M,1,1,01M134,P.S. 134 Henrietta Szold,Elementary,M134,P.S. 134 - Manhattan,293 East Broadway,DOE Owned,140A,528,Dance Room,true,Inside,true,false
M,1,1,01M134,P.S. 134 Henrietta Szold,Elementary,M134,P.S. 134 - Manhattan,293 East Broadway,DOE Owned,GYM,3850,Gymnasium,true,Inside,true,false
M,1,1,01M140,P.S. 140 Nathan Straus,K-8,M140,P.S. 140 - Manhattan,123 Ridge Street,DOE Owned,GYM,3850,Gymnasium,false,Inside,false,false
M,1,1,01M140,P.S. 140 Nathan Straus,K-8,M140,P.S. 140 - Manhattan,123 Ridge Street,DOE Owned,Outdoor Yard 1,2890,Outdoor Yard,false,Outdoor,false,false
M,1,1,01M142,P.S. 142 Amalia Castro,Elementary,M142,P.S. 142 - Manhattan,100 Attorney Street,DOE Owned,118,550,Dance Room,true,Inside,true,false
M,1,1,01M142,P.S. 142 Amalia Castro,Elementary,M142,P.S. 142 - Manhattan,100 Attorney Street,DOE Owned,140,3000,Gymnasium,true,Inside,true,false
M,1,1,01M142,P.S. 142 Amalia Castro,Elementary,M142,P.S. 142 - Manhattan,100 Attorney Street,DOE Owned,Outdoor Yard 1,26472,Outdoor Yard,true,Outdoor,true,false
M,1,1,01M142,P.S. 142 Amalia Castro,Elementary,M142,P.S. 142 - Manhattan,100 Attorney Street,DOE Owned,Outdoor Yard 2,7098,Outdoor Yard,true,Outdoor,true,false
M,1,1,01M184,P.S. 184m Shuang Wen,K-8,M137,P.S. 137 - Manhattan,327 Cherry Street,DOE Owned,209/211,1350,Dance Room,false,Inside,false,false
M,1,1,01M184,P.S. 184m Shuang Wen,K-8,M137,P.S. 137 - Manhattan,327 Cherry Street,DOE Owned,Outdoor Yard 1,48593,Outdoor Yard,false,Outdoor,false,false
M,1,1,01M188,P.S. 188 The Island School,K-8,M188,P.S. 188 - Manhattan,442 East Houston Street,DOE Owned,GYM,9720,Gymnasium,true,Inside,true,false
M,1,1,01M292,Orchard Collegiate Academy,Secondary School,M056,J.H.S. 56 - Manhattan,220 Henry Street,DOE Owned,300,816,Dance Room,true,Inside,true,false
M,1,1,01M292,Orchard Collegiate Academy,Secondary School,M056,J.H.S. 56 - Manhattan,220 Henry Street,DOE Owned,GYM,6500,Gymnasium,true,Inside,true,false
M,1,1,01M292,Orchard Collegiate Academy,Secondary School,M056,J.H.S. 56 - Manhattan,220 Henry Street,DOE Owned,Outdoor Yard 1,23204,Outdoor Yard,true,Outdoor,true,false
M,1,1,01M301,"Technology, Arts, and Sciences Studio",Junior High-Intermediate-Middle,M019,P.S. 19 - Manhattan,185 1 Avenue,DOE Owned,GYM,3942,Gymnasium,true,Inside,true,false
M,1,1,01M301,"Technology, Arts, and Sciences Studio",Junior High-Intermediate-Middle,M019,P.S. 19 - Manhattan,185 1 Avenue,DOE Owned,Outdoor Yard 1,28121,Outdoor Yard,true,Outdoor,true,false
M,1,1,01M315,The East Village Community School,Elementary,M061,P.S. 61 - Manhattan,610 East 12 Street,DOE Owned,411,672,Gymnasium,true,Inside,true,false
M,1,1,01M315,The East Village Community School,Elementary,M061,P.S. 61 - Manhattan,610 East 12 Street,DOE Owned,412,728,Dance Room,true,Inside,true,false
M,1,1,01M315,The East Village Community School,Elementary,M061,P.S. 61 - Manhattan,610 East 12 Street,DOE Owned,Outdoor Yard 1,10622,Outdoor Yard,true,Outdoor,true,false
M,1,1,01M332,University Neighborhood Middle School,Junior High-Intermediate-Middle,M056,J.H.S. 56 - Manhattan,220 Henry Street,DOE Owned,300,816,Dance Room,true,Inside,true,false
M,1,1,01M332,University Neighborhood Middle School,Junior High-Intermediate-Middle,M056,J.H.S. 56 - Manhattan,220 Henry Street,DOE Owned,GYM,6500,Gymnasium,true,Inside,true,false
M,3,3,03M334,The Anderson School,K-8,M044,I.S. 44 - Manhattan,100 West 77 Street,DOE Owned,237,960,Dance Room,true,Inside,true,false
M,1,1,01M332,University Neighborhood Middle School,Junior High-Intermediate-Middle,M056,J.H.S. 56 - Manhattan,220 Henry Street,DOE Owned,Outdoor Yard 1,23204,Outdoor Yard,true,Outdoor,true,false
M,1,1,01M361,The Children's Workshop School,Elementary,M061,P.S. 61 - Manhattan,610 East 12 Street,DOE Owned,411,672,Gymnasium,true,Inside,true,false
M,1,1,01M361,The Children's Workshop School,Elementary,M061,P.S. 61 - Manhattan,610 East 12 Street,DOE Owned,412,728,Dance Room,true,Inside,true,false
M,1,1,01M361,The Children's Workshop School,Elementary,M061,P.S. 61 - Manhattan,610 East 12 Street,DOE Owned,Outdoor Yard 1,10622,Outdoor Yard,true,Outdoor,true,false
M,1,1,01M363,Neighborhood School,Elementary,M063,P.S. 63 - Manhattan,121 East 3 Street,DOE Owned,114,728,Dance Room,true,Inside,true,false
M,1,1,01M363,Neighborhood School,Elementary,M063,P.S. 63 - Manhattan,121 East 3 Street,DOE Owned,417,1500,Gymnasium,true,Inside,true,false
M,1,1,01M363,Neighborhood School,Elementary,M063,P.S. 63 - Manhattan,121 East 3 Street,DOE Owned,GYMB,1740,Gymnasium,true,Inside,true,false
M,1,1,01M364,Earth School,Elementary,M064,P.S. 64 (Old 71) - Manhattan,600 East 6 Street,DOE Owned,B43,1344,Dance Room,true,Inside,true,false
M,1,1,01M364,Earth School,Elementary,M064,P.S. 64 (Old 71) - Manhattan,600 East 6 Street,DOE Owned,B53,6336,Gymnasium,true,Inside,true,false
M,1,1,01M364,Earth School,Elementary,M064,P.S. 64 (Old 71) - Manhattan,600 East 6 Street,DOE Owned,Outdoor Yard 1,13310,Outdoor Yard,true,Outdoor,true,false
M,1,1,01M364,Earth School,Elementary,M064,P.S. 64 (Old 71) - Manhattan,600 East 6 Street,DOE Owned,Outdoor Yard 2,14159,Outdoor Yard,true,Outdoor,true,false
M,1,1,01M378,School for Global Leaders,Junior High-Intermediate-Middle,M025,J.H.S. 25 - Manhattan,145 Stanton Street,DOE Owned,257,1591,Weight Room,true,Inside,true,false
M,1,1,01M378,School for Global Leaders,Junior High-Intermediate-Middle,M025,J.H.S. 25 - Manhattan,145 Stanton Street,DOE Owned,471,682,Weight Room,true,Inside,true,false
M,1,1,01M378,School for Global Leaders,Junior High-Intermediate-Middle,M025,J.H.S. 25 - Manhattan,145 Stanton Street,DOE Owned,GYM,5251,Gymnasium,true,Inside,true,false
M,1,1,01M378,School for Global Leaders,Junior High-Intermediate-Middle,M025,J.H.S. 25 - Manhattan,145 Stanton Street,DOE Owned,Outdoor Yard 1,24232,Outdoor Yard,true,Outdoor,true,false
M,1,1,01M448,University Neighborhood High School,High school,M446,University Neighborhood - M,200 Monroe Street,DOE Owned,204-6,990,Dance Room,false,Inside,false,false
M,1,1,01M448,University Neighborhood High School,High school,M446,University Neighborhood - M,200 Monroe Street,DOE Owned,209-10,1104,Weight Room,false,Inside,false,false
M,1,1,01M450,East Side Community School,Secondary School,M060,J.H.S. 60 - Manhattan,420 East 12 Street,DOE Owned,GYM1,2652,Gymnasium,true,Inside,true,false
M,1,1,01M450,East Side Community School,Secondary School,M060,J.H.S. 60 - Manhattan,420 East 12 Street,DOE Owned,GYM2,2808,Gymnasium,true,Inside,true,false
M,1,1,01M450,East Side Community School,Secondary School,M060,J.H.S. 60 - Manhattan,420 East 12 Street,DOE Owned,Outdoor Yard 1,7350,Outdoor Yard,true,Outdoor,true,false
M,1,1,01M450,East Side Community School,Secondary School,M060,J.H.S. 60 - Manhattan,420 East 12 Street,DOE Owned,Outdoor Yard 2,17931,Outdoor Yard,true,Outdoor,true,false
M,1,1,01M458,Forsyth Satellite Academy,High school,M510,Forsyth Hs (Auxsvc-Old 91) - M,198 Forsyth Street,DOE Owned,401,567,Dance Room,true,Inside,true,false
M,1,1,01M458,Forsyth Satellite Academy,High school,M510,Forsyth Hs (Auxsvc-Old 91) - M,198 Forsyth Street,DOE Owned,GYM,2464,Gymnasium,true,Inside,true,false
M,1,1,01M509,Marta Valle High School,High school,M025,J.H.S. 25 - Manhattan,145 Stanton Street,DOE Owned,257,1591,Weight Room,true,Inside,true,false
M,1,1,01M509,Marta Valle High School,High school,M025,J.H.S. 25 - Manhattan,145 Stanton Street,DOE Owned,471,682,Weight Room,true,Inside,true,false
M,1,1,01M509,Marta Valle High School,High school,M025,J.H.S. 25 - Manhattan,145 Stanton Street,DOE Owned,GYM,5251,Gymnasium,true,Inside,true,false
M,1,1,01M509,Marta Valle High School,High school,M025,J.H.S. 25 - Manhattan,145 Stanton Street,DOE Owned,Outdoor Yard 1,24232,Outdoor Yard,true,Outdoor,true,false
M,1,1,01M515,Lower East Side Preparatory High School,High school,M025,J.H.S. 25 - Manhattan,145 Stanton Street,DOE Owned,257,1591,Weight Room,true,Inside,true,false
M,1,1,01M515,Lower East Side Preparatory High School,High school,M025,J.H.S. 25 - Manhattan,145 Stanton Street,DOE Owned,471,682,Weight Room,true,Inside,true,false
M,1,1,01M515,Lower East Side Preparatory High School,High school,M025,J.H.S. 25 - Manhattan,145 Stanton Street,DOE Owned,GYM,5251,Gymnasium,true,Inside,true,false
M,1,1,01M515,Lower East Side Preparatory High School,High school,M025,J.H.S. 25 - Manhattan,145 Stanton Street,DOE Owned,Outdoor Yard 1,24232,Outdoor Yard,true,Outdoor,true,false
M,1,1,01M539,"New Explorations into Science, Technology and Math High School",K-12 all grades,M022,N.E.S.T (Old J22) - Manhattan,111 Columbia Street,DOE Owned,GYM,6600,Gymnasium,false,Inside,false,false
M,1,1,01M539,"New Explorations into Science, Technology and Math High School",K-12 all grades,M022,N.E.S.T (Old J22) - Manhattan,111 Columbia Street,DOE Owned,Outdoor Yard 1,6489,Outdoor Yard,false,Outdoor,false,false
M,1,1,01M650,Cascades High School,High school,M510,Forsyth Hs (Auxsvc-Old 91) - M,198 Forsyth Street,DOE Owned,401,567,Dance Room,true,Inside,true,false
M,1,1,01M650,Cascades High School,High school,M510,Forsyth Hs (Auxsvc-Old 91) - M,198 Forsyth Street,DOE Owned,GYM,2464,Gymnasium,true,Inside,true,false
M,1,1,01M696,Bard High School Early College,High school,M097,Bard College Hs (Old M097) - M,525 East Houston Street,DOE Owned,GYM,1147,Gymnasium,false,Inside,false,false
M,1,1,01M839,Tompkins Square Middle School,Junior High-Intermediate-Middle,M064,P.S. 64 (Old 71) - Manhattan,600 East 6 Street,DOE Owned,B43,1344,Dance Room,true,Inside,true,false
M,1,1,01M839,Tompkins Square Middle School,Junior High-Intermediate-Middle,M064,P.S. 64 (Old 71) - Manhattan,600 East 6 Street,DOE Owned,B53,6336,Gymnasium,true,Inside,true,false
M,1,1,01M839,Tompkins Square Middle School,Junior High-Intermediate-Middle,M064,P.S. 64 (Old 71) - Manhattan,600 East 6 Street,DOE Owned,Outdoor Yard 1,13310,Outdoor Yard,true,Outdoor,true,false
M,1,1,01M839,Tompkins Square Middle School,Junior High-Intermediate-Middle,M064,P.S. 64 (Old 71) - Manhattan,600 East 6 Street,DOE Owned,Outdoor Yard 2,14159,Outdoor Yard,true,Outdoor,true,false
M,2,2,02M001,P.S. 001 Alfred E. Smith,Elementary,M001,P.S. 1 - Manhattan,8 Henry Street,DOE Owned,GYM.,3584,Gymnasium,false,Inside,false,false
M,2,2,02M001,P.S. 001 Alfred E. Smith,Elementary,M001,P.S. 1 - Manhattan,8 Henry Street,DOE Owned,Outdoor Yard 1,4872,Outdoor Yard,false,Outdoor,false,false
M,2,2,02M002,P.S. 002 Meyer London,Elementary,M002,P.S. 2 - Manhattan,122 Henry Street,DOE Owned,GYM.,3819,Gymnasium,false,Inside,false,false
M,2,2,02M002,P.S. 002 Meyer London,Elementary,M002,P.S. 2 - Manhattan,122 Henry Street,DOE Owned,Outdoor Yard 1,36183,Outdoor Yard,false,Outdoor,false,false
M,2,2,02M003,P.S. 003 Charrette School,Elementary,M003,P.S. 3 - Manhattan,490 Hudson Street,DOE Owned,400,546,Dance Room,false,Inside,false,false
M,2,2,02M003,P.S. 003 Charrette School,Elementary,M003,P.S. 3 - Manhattan,490 Hudson Street,DOE Owned,402,945,Dance Room,false,Inside,false,false
M,2,2,02M006,P.S. 006 Lillie D. Blake,Elementary,M006,P.S. 6 - Manhattan,45 East 81 Street,DOE Owned,GYM,3710,Gymnasium,false,Inside,false,false
M,2,2,02M006,P.S. 006 Lillie D. Blake,Elementary,M006,P.S. 6 - Manhattan,45 East 81 Street,DOE Owned,Outdoor Yard 1,19173,Outdoor Yard,false,Outdoor,false,false
M,2,2,02M011,P.S. 011 William T. Harris,Elementary,M011,P.S. 11 - Manhattan,320 West 21 Street,DOE Owned,502,1254,Dance Room,false,Inside,false,false
M,2,2,02M011,P.S. 011 William T. Harris,Elementary,M011,P.S. 11 - Manhattan,320 West 21 Street,DOE Owned,520,1232,Gymnasium,false,Inside,false,false
M,2,2,02M011,P.S. 011 William T. Harris,Elementary,M011,P.S. 11 - Manhattan,320 West 21 Street,DOE Owned,POOL,4674,Swimming Pool,false,Inside,false,false
M,2,2,02M011,P.S. 011 William T. Harris,Elementary,M011,P.S. 11 - Manhattan,320 West 21 Street,DOE Owned,Outdoor Yard 1,14192,Outdoor Yard,false,Outdoor,false,false
M,2,2,02M033,P.S. 033 Chelsea Prep,Elementary,M033,P.S. 33 - Manhattan,281 9 Avenue,DOE Owned,108,3504,Gymnasium,true,Inside,true,false
M,2,2,02M033,P.S. 033 Chelsea Prep,Elementary,M033,P.S. 33 - Manhattan,281 9 Avenue,DOE Owned,Outdoor Yard 1,8950,Outdoor Yard,true,Outdoor,true,false
M,2,2,02M040,P.S. 040 Augustus Saint-Gaudens,Elementary,M040,P.S. 40 - Manhattan,319 East 19 Street,DOE Owned,1ST FL,4503,Gymnasium,true,Inside,true,false
M,2,2,02M040,P.S. 040 Augustus Saint-Gaudens,Elementary,M040,P.S. 40 - Manhattan,319 East 19 Street,DOE Owned,3 FL,2652,Gymnasium,true,Inside,true,false
M,2,2,02M040,P.S. 040 Augustus Saint-Gaudens,Elementary,M040,P.S. 40 - Manhattan,319 East 19 Street,DOE Owned,Outdoor Yard 1,7980,Outdoor Yard,true,Outdoor,true,false
M,2,2,02M041,P.S. 041 Greenwich Village,Elementary,M041,P.S. 41 - Manhattan,116 West 11 Street,DOE Owned,232,675,Dance Room,false,Inside,false,false
M,2,2,02M041,P.S. 041 Greenwich Village,Elementary,M041,P.S. 41 - Manhattan,116 West 11 Street,DOE Owned,GYM,3850,Gymnasium,false,Inside,false,false
M,2,2,02M041,P.S. 041 Greenwich Village,Elementary,M041,P.S. 41 - Manhattan,116 West 11 Street,DOE Owned,Outdoor Yard 1,25458,Outdoor Yard,false,Outdoor,false,false
M,2,2,02M042,P.S. 042 Benjamin Altman,Elementary,M042,P.S. 42 - Manhattan,71 Hester Street,DOE Owned,102,4060,Gymnasium/Cafeteria,false,Inside,false,true
M,2,2,02M042,P.S. 042 Benjamin Altman,Elementary,M042,P.S. 42 - Manhattan,71 Hester Street,DOE Owned,511,2496,Gymnasium,false,Inside,false,false
M,2,2,02M042,P.S. 042 Benjamin Altman,Elementary,M042,P.S. 42 - Manhattan,71 Hester Street,DOE Owned,Outdoor Yard 1,8802,Outdoor Yard,false,Outdoor,false,false
M,2,2,02M047,47 The American Sign Language and English Secondary School,High school,M047,J.H.S. 47 (Sch For The Deaf) - M,223 East 23 Street,DOE Owned,508,740,Weight Room,true,Inside,true,false
M,2,2,02M047,47 The American Sign Language and English Secondary School,High school,M047,J.H.S. 47 (Sch For The Deaf) - M,223 East 23 Street,DOE Owned,GYM,5184,Gymnasium,true,Inside,true,false
M,2,2,02M047,47 The American Sign Language and English Secondary School,High school,M047,J.H.S. 47 (Sch For The Deaf) - M,223 East 23 Street,DOE Owned,Outdoor Yard 1,10087,Outdoor Yard,true,Outdoor,true,false
M,2,2,02M051,P.S. 051 Elias Howe,Elementary,M338,P.S. 51 Elias Howe - Manhattan,525 West 44Th Street,DOE Owned,114,3136,Gymnasium/Auditorium,true,Inside,true,true
M,2,2,02M051,P.S. 051 Elias Howe,Elementary,M338,P.S. 51 Elias Howe - Manhattan,525 West 44Th Street,DOE Owned,320,4895,Gymnasium,true,Inside,true,false
M,2,2,02M059,P.S. 059 Beekman Hill International,Elementary,M488,Midtown East Campus - Manhattan,231-249 East 56 Street,DOE Owned,426,1980,Weight Room,true,Inside,true,false
M,2,2,02M059,P.S. 059 Beekman Hill International,Elementary,M488,Midtown East Campus - Manhattan,231-249 East 56 Street,DOE Owned,502,3280,Gymnasium,true,Inside,true,false
M,2,2,02M059,P.S. 059 Beekman Hill International,Elementary,M488,Midtown East Campus - Manhattan,231-249 East 56 Street,DOE Owned,L223,2793,Gymnasium,true,Inside,true,false
M,2,2,02M059,P.S. 059 Beekman Hill International,Elementary,M488,Midtown East Campus - Manhattan,231-249 East 56 Street,DOE Owned,Outdoor Yard 1,4352,Outdoor Yard,true,Outdoor,true,false
M,2,2,02M077,P.S. 77 Lower Lab School,Elementary,M198,P.S. 198 - Manhattan,1700 3 Avenue,DOE Owned,GYM,3630,Gymnasium,true,Inside,true,false
M,2,2,02M077,P.S. 77 Lower Lab School,Elementary,M198,P.S. 198 - Manhattan,1700 3 Avenue,DOE Owned,Outdoor Yard 1,2710,Outdoor Yard,true,Outdoor,true,false
M,2,2,02M077,P.S. 77 Lower Lab School,Elementary,M198,P.S. 198 - Manhattan,1700 3 Avenue,DOE Owned,Outdoor Yard 2,3762,Outdoor Yard,true,Outdoor,true,false
M,2,2,02M089,P.S. 89,Elementary,M089,P.S./I.S. 89 - Manhattan,201 Warren Street,DOE Owned,127,688,Dance Room,true,Inside,true,false
M,2,2,02M089,P.S. 89,Elementary,M089,P.S./I.S. 89 - Manhattan,201 Warren Street,DOE Owned,315,4845,Gymnasium,true,Inside,true,false
M,2,2,02M089,P.S. 89,Elementary,M089,P.S./I.S. 89 - Manhattan,201 Warren Street,DOE Owned,Outdoor Yard 1,8600,Outdoor Yard,true,Outdoor,true,false
M,2,2,02M104,J.H.S. 104 Simon Baruch,Junior High-Intermediate-Middle,M104,I.S. 104 - Manhattan,330 East 21 Street,DOE Owned,134,6110,Gymnasium,false,Inside,false,false
M,2,2,02M158,P.S. 158 Bayard Taylor,Elementary,M158,P.S. 158 - Manhattan,1458 York Avenue,DOE Owned,GYM1,5734,Gymnasium,true,Inside,true,false
M,2,2,02M104,J.H.S. 104 Simon Baruch,Junior High-Intermediate-Middle,M104,I.S. 104 - Manhattan,330 East 21 Street,DOE Owned,Outdoor Yard 1,6747,Outdoor Yard,false,Outdoor,false,false
M,2,2,02M111,P.S. 111 Adolph S. Ochs,K-8,M111,P.S. 111 - Manhattan,440 West 53 Street,DOE Owned,GYM,3816,Gymnasium,false,Inside,false,false
M,2,2,02M111,P.S. 111 Adolph S. Ochs,K-8,M111,P.S. 111 - Manhattan,440 West 53 Street,DOE Owned,Outdoor Yard 1,29809,Outdoor Yard,false,Outdoor,false,false
M,2,2,02M111,P.S. 111 Adolph S. Ochs,K-8,M111,P.S. 111 - Manhattan,440 West 53 Street,DOE Owned,Outdoor Yard 2,7509,Outdoor Yard,false,Outdoor,false,false
M,2,2,02M114,East Side Middle School,Junior High-Intermediate-Middle,M114,East Side Middle School - Manhattan,331 East 91St Street,DOE Owned,302,476,Weight Room,true,Inside,true,false
M,2,2,02M114,East Side Middle School,Junior High-Intermediate-Middle,M114,East Side Middle School - Manhattan,331 East 91St Street,DOE Owned,304,4888,Gymnasium,true,Inside,true,false
M,2,2,02M116,P.S. 116 Mary Lindley Murray,Elementary,M116,P.S. 116 - Manhattan,210 East 33 Street,DOE Owned,GYM,4293,Gymnasium,false,Inside,false,false
M,2,2,02M116,P.S. 116 Mary Lindley Murray,Elementary,M116,P.S. 116 - Manhattan,210 East 33 Street,DOE Owned,Outdoor Yard 1,15039,Outdoor Yard,false,Outdoor,false,false
M,2,2,02M124,P.S. 124 Yung Wing,Elementary,M124,P.S. 124 (Ecf) - Manhattan,40 Division Street,DOE Owned,207,2842,Gymnasium,false,Inside,false,false
M,2,2,02M124,P.S. 124 Yung Wing,Elementary,M124,P.S. 124 (Ecf) - Manhattan,40 Division Street,DOE Owned,Outdoor Yard 1,7134,Outdoor Yard,false,Outdoor,false,false
M,2,2,02M124,P.S. 124 Yung Wing,Elementary,M124,P.S. 124 (Ecf) - Manhattan,40 Division Street,DOE Owned,Outdoor Yard 2,14854,Outdoor Yard,false,Outdoor,false,false
M,2,2,02M126,P.S. 126 Jacob August Riis,K-8,M126,P.S. 126 - Manhattan,80 Catherine Street,DOE Owned,207,561,Weight Room,false,Inside,false,false
M,2,2,02M126,P.S. 126 Jacob August Riis,K-8,M126,P.S. 126 - Manhattan,80 Catherine Street,DOE Owned,GYM,4410,Gymnasium,false,Inside,false,false
M,2,2,02M126,P.S. 126 Jacob August Riis,K-8,M126,P.S. 126 - Manhattan,80 Catherine Street,DOE Owned,PLAYROM,1674,Gymnasium/Cafeteria,false,Inside,false,true
M,2,2,02M130,P.S. 130 Hernando De Soto,Elementary,M130,P.S. 130 - Manhattan,143 Baxter Street,DOE Owned,GYM,2950,Gymnasium,false,Inside,false,false
M,2,2,02M131,M.S. 131,Junior High-Intermediate-Middle,M131,I.S. 131 - Manhattan,100 Hester Street,DOE Owned,106,1720,Dance Room,true,Inside,true,false
M,2,2,02M131,M.S. 131,Junior High-Intermediate-Middle,M131,I.S. 131 - Manhattan,100 Hester Street,DOE Owned,C40,984,Dance Room,true,Inside,true,false
M,2,2,02M131,M.S. 131,Junior High-Intermediate-Middle,M131,I.S. 131 - Manhattan,100 Hester Street,DOE Owned,GYM,5220,Gymnasium,true,Inside,true,false
M,2,2,02M131,M.S. 131,Junior High-Intermediate-Middle,M131,I.S. 131 - Manhattan,100 Hester Street,DOE Owned,Outdoor Yard 1,7998,Outdoor Yard,true,Outdoor,true,false
M,2,2,02M135,The Urban Assembly School for Emergency Management,High school,M520,Murry Bergtraum Hs (Ecf) - M,411 Pearl Street,DOE Owned,250,6882,Gymnasium/Auditorium/Cafeteria,true,Inside,true,true
M,2,2,02M135,The Urban Assembly School for Emergency Management,High school,M520,Murry Bergtraum Hs (Ecf) - M,411 Pearl Street,DOE Owned,GYM #1,5106,Gymnasium,true,Inside,true,false
M,2,2,02M135,The Urban Assembly School for Emergency Management,High school,M520,Murry Bergtraum Hs (Ecf) - M,411 Pearl Street,DOE Owned,GYM #2,11840,Gymnasium,true,Inside,true,false
M,2,2,02M139,Stephen T. Mather Building Arts & Craftsmanship High School,High school,M625,Hs Of Graphic Communication Arts-M,439 West 49Th Street,DOE Owned,247B,816,Dance Room,true,Inside,true,false
M,2,2,02M139,Stephen T. Mather Building Arts & Craftsmanship High School,High school,M625,Hs Of Graphic Communication Arts-M,439 West 49Th Street,DOE Owned,644,640,Weight Room,true,Inside,true,false
M,2,2,02M139,Stephen T. Mather Building Arts & Craftsmanship High School,High school,M625,Hs Of Graphic Communication Arts-M,439 West 49Th Street,DOE Owned,B18,6016,Gymnasium,true,Inside,true,false
M,2,2,02M150,P.S. 150,Elementary,M840,P.S. 150 - Manhattan,334 Greenwich Street,Tax Levy Lease,Outdoor Yard 1,8874,Outdoor Yard,false,Outdoor,false,false
M,2,2,02M150,P.S. 150,Elementary,M840,P.S. 150 - Manhattan,334 Greenwich Street,Tax Levy Lease,1 FLOOR,884,Playroom/Cafeteria,false,Inside,false,true
