Borough,Geographical  District,Admin District,ATS Code,Location Name,Grade Level,Building Code,Building Name,Address,Building Ownership Description,Room No,Area,Function,Is school co-located?,Inside v outside,Is the space shared by any other schools?,Space used for any other purpose beside PE
K,22,22,22K240,Andries Hudde,Junior High-Intermediate-Middle,K240,I.S. 240 - Brooklyn,2500 Nostrand Avenue,DOE Owned,BGYM,2925,Gymnasium,false,Inside,false,false
K,22,22,22K240,Andries Hudde,Junior High-Intermediate-Middle,K240,I.S. 240 - Brooklyn,2500 Nostrand Avenue,DOE Owned,Outdoor Yard 1,36059,Outdoor Yard,false,Outdoor,false,false
K,22,22,22K245,P.S. 245,Elementary,K735,P.S. 245 - Brooklyn,249 East 17Th Street,Tax Levy Lease,GYM/AUD,6806,Gymnasium/Auditorium,false,Inside,false,true
K,22,22,22K251,P.S. 251 Paerdegat,Elementary,K251,P.S. 251 - Brooklyn,1037 East 54 Street,DOE Owned,GYM,4212,Gymnasium,false,Inside,false,false
K,22,22,22K251,P.S. 251 Paerdegat,Elementary,K251,P.S. 251 - Brooklyn,1037 East 54 Street,DOE Owned,Outdoor Yard 1,4264,Outdoor Yard,false,Outdoor,false,false
K,22,22,22K254,P.S. 254 Dag Hammarskjold,Elementary,K254,P.S. 254 - Brooklyn,1801 Avenue Y,DOE Owned,GYM,3186,Gymnasium,false,Inside,false,false
K,22,22,22K254,P.S. 254 Dag Hammarskjold,Elementary,K254,P.S. 254 - Brooklyn,1801 Avenue Y,DOE Owned,Outdoor Yard 1,49405,Outdoor Yard,false,Outdoor,false,false
K,22,22,22K255,P.S. 255 Barbara Reing School,Elementary,K255,P.S. 255 - Brooklyn,1866 East 17 Street,DOE Owned,321,720,Dance Room,false,Inside,false,false
K,22,22,22K255,P.S. 255 Barbara Reing School,Elementary,K255,P.S. 255 - Brooklyn,1866 East 17 Street,DOE Owned,331,3780,Gymnasium,false,Inside,false,false
K,22,22,22K269,P.S. 269 Nostrand,Elementary,K269,P.S. 269 - Brooklyn,1957 Nostrand Avenue,DOE Owned,352,484,Auxiliary Exercise Room,false,Inside,false,false
K,22,22,22K269,P.S. 269 Nostrand,Elementary,K269,P.S. 269 - Brooklyn,1957 Nostrand Avenue,DOE Owned,354,483,Weight Room,false,Inside,false,false
K,22,22,22K269,P.S. 269 Nostrand,Elementary,K269,P.S. 269 - Brooklyn,1957 Nostrand Avenue,DOE Owned,GYM,4212,Gymnasium,false,Inside,false,false
K,22,22,22K277,P.S. 277 Gerritsen Beach,Elementary,K277,P.S. 277 - Brooklyn,2529 Gerritsen Avenue,DOE Owned,GYM,3000,Gymnasium,false,Inside,false,false
K,22,22,22K277,P.S. 277 Gerritsen Beach,Elementary,K277,P.S. 277 - Brooklyn,2529 Gerritsen Avenue,DOE Owned,Outdoor Yard 1,9014,Outdoor Yard,false,Outdoor,false,false
K,22,22,22K278,J.H.S. 278 Marine Park,Junior High-Intermediate-Middle,K278,I.S. 278 - Brooklyn,1925 Stuart Street,DOE Owned,BGYM,2925,Gymnasium,false,Inside,false,false
K,22,22,22K278,J.H.S. 278 Marine Park,Junior High-Intermediate-Middle,K278,I.S. 278 - Brooklyn,1925 Stuart Street,DOE Owned,GGYM,2860,Gymnasium,false,Inside,false,false
K,22,22,22K278,J.H.S. 278 Marine Park,Junior High-Intermediate-Middle,K278,I.S. 278 - Brooklyn,1925 Stuart Street,DOE Owned,Outdoor Yard 1,29257,Outdoor Yard,false,Outdoor,false,false
K,22,22,22K312,P.S. 312 Bergen Beach,Elementary,K312,P.S. 312 - Brooklyn,7103 Avenue T,DOE Owned,332,676,Auxiliary Exercise Room,false,Inside,false,false
K,22,22,22K312,P.S. 312 Bergen Beach,Elementary,K312,P.S. 312 - Brooklyn,7103 Avenue T,DOE Owned,GYM,3192,Gymnasium,false,Inside,false,false
